Run Name,MAML (time),MAML (memory),ES (time),ES (memory)
128,0.5038623286667038,16.9169921875,0.32729905066670045,16.5185546875
256,0.4958753013333232,18.8115234375,0.33459358466666345,17.2763671875
512,0.5147412856667112,26.3505859375,0.32652761099999833,20.2919921875
1024,0.5035140099999657,56.4287109375,0.35349835133335245,32.3232421875
2048,0.9106475270000374,176.5849609375,0.4709470290000202,80.3857421875
