Namespace(backend='inductor', batch_size=4, cache=False, checkpoint_step=-1, compile=False, datadir='../', device='gpu', learning_rate=0.0005, log_dir=None, num_query=10, num_support=5, num_train_iterations=8000, num_way=2, num_workers=2, test=False)
Using device:  cpu
log_dir: ./logs/protonet/metabolism.way_2.support_5.query_10.lr_0.0005.batch_size_4
Checkpoint loading skipped.
Training on tasks with composition num_way=2, num_support=5, num_query=10
Starting training at iteration 0.
Iteration 780: loss: 0.324, support accuracy: 1.000, query accuracy: 0.987
Iteration 790: loss: 0.323, support accuracy: 1.000, query accuracy: 0.987
Iteration 800: loss: 0.324, support accuracy: 1.000, query accuracy: 0.987
Iteration 810: loss: 0.343, support accuracy: 1.000, query accuracy: 0.950
Iteration 820: loss: 0.349, support accuracy: 1.000, query accuracy: 0.963
Iteration 830: loss: 0.331, support accuracy: 0.975, query accuracy: 0.987
Iteration 840: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
Iteration 850: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 860: loss: 0.342, support accuracy: 1.000, query accuracy: 0.975
Iteration 870: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 880: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 890: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 900: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 910: loss: 0.319, support accuracy: 0.975, query accuracy: 1.000
Iteration 920: loss: 0.334, support accuracy: 1.000, query accuracy: 0.963
Iteration 930: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 940: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 950: loss: 0.322, support accuracy: 0.975, query accuracy: 0.987
Iteration 960: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 970: loss: 0.353, support accuracy: 1.000, query accuracy: 0.962
Iteration 980: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 990: loss: 0.339, support accuracy: 0.975, query accuracy: 0.975
Iteration 1000: loss: 0.338, support accuracy: 1.000, query accuracy: 0.987
Iteration 1010: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 1020: loss: 0.329, support accuracy: 1.000, query accuracy: 0.987
Iteration 1030: loss: 0.343, support accuracy: 0.975, query accuracy: 0.963
Iteration 1040: loss: 0.331, support accuracy: 1.000, query accuracy: 0.987
Iteration 1050: loss: 0.342, support accuracy: 1.000, query accuracy: 0.975
Iteration 1060: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1070: loss: 0.329, support accuracy: 1.000, query accuracy: 0.987
Iteration 1080: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 1090: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1100: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1110: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 1120: loss: 0.324, support accuracy: 1.000, query accuracy: 0.987
Iteration 1130: loss: 0.333, support accuracy: 1.000, query accuracy: 0.975
Iteration 1140: loss: 0.329, support accuracy: 1.000, query accuracy: 0.987
Iteration 1150: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 1160: loss: 0.338, support accuracy: 0.950, query accuracy: 0.975
Iteration 1170: loss: 0.334, support accuracy: 1.000, query accuracy: 0.987
Iteration 1180: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1190: loss: 0.341, support accuracy: 1.000, query accuracy: 0.975
Iteration 1200: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 1210: loss: 0.354, support accuracy: 0.975, query accuracy: 0.950
Iteration 1220: loss: 0.331, support accuracy: 1.000, query accuracy: 0.987
Iteration 1230: loss: 0.332, support accuracy: 1.000, query accuracy: 0.975
Iteration 1240: loss: 0.375, support accuracy: 1.000, query accuracy: 0.938
Iteration 1250: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 1260: loss: 0.343, support accuracy: 1.000, query accuracy: 0.975
Iteration 1270: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 1280: loss: 0.332, support accuracy: 0.950, query accuracy: 0.987
Iteration 1290: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1300: loss: 0.327, support accuracy: 0.975, query accuracy: 0.987
Iteration 1310: loss: 0.322, support accuracy: 1.000, query accuracy: 1.000
Iteration 1320: loss: 0.337, support accuracy: 1.000, query accuracy: 0.975
Iteration 1330: loss: 0.320, support accuracy: 1.000, query accuracy: 0.987
Iteration 1340: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1350: loss: 0.342, support accuracy: 0.975, query accuracy: 0.962
Iteration 1360: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 1370: loss: 0.316, support accuracy: 0.975, query accuracy: 1.000
Iteration 1380: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 1390: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1400: loss: 0.322, support accuracy: 0.950, query accuracy: 0.987
Iteration 1410: loss: 0.323, support accuracy: 1.000, query accuracy: 1.000
Iteration 1420: loss: 0.322, support accuracy: 0.975, query accuracy: 0.987
Iteration 1430: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 1440: loss: 0.351, support accuracy: 1.000, query accuracy: 0.950
Iteration 1450: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1460: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1470: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1480: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1490: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1500: loss: 0.322, support accuracy: 1.000, query accuracy: 0.987
Iteration 1510: loss: 0.337, support accuracy: 1.000, query accuracy: 0.975
Iteration 1520: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1530: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 1540: loss: 0.322, support accuracy: 1.000, query accuracy: 0.987
Iteration 1550: loss: 0.343, support accuracy: 1.000, query accuracy: 0.975
Iteration 1560: loss: 0.321, support accuracy: 1.000, query accuracy: 0.987
Iteration 1570: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 1580: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 1590: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1600: loss: 0.325, support accuracy: 1.000, query accuracy: 1.000
Iteration 1610: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1620: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1630: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 1640: loss: 0.331, support accuracy: 1.000, query accuracy: 0.987
Iteration 1650: loss: 0.332, support accuracy: 1.000, query accuracy: 0.987
Iteration 1660: loss: 0.329, support accuracy: 1.000, query accuracy: 0.987
Iteration 1670: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1680: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 1690: loss: 0.330, support accuracy: 1.000, query accuracy: 0.975
Iteration 1700: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 1710: loss: 0.349, support accuracy: 1.000, query accuracy: 0.962
Iteration 1720: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1730: loss: 0.361, support accuracy: 1.000, query accuracy: 0.950
Iteration 1740: loss: 0.346, support accuracy: 0.975, query accuracy: 0.962
Iteration 1750: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 1760: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 1770: loss: 0.333, support accuracy: 1.000, query accuracy: 0.987
Iteration 1780: loss: 0.316, support accuracy: 0.975, query accuracy: 1.000
Iteration 1790: loss: 0.350, support accuracy: 1.000, query accuracy: 0.962
Iteration 1800: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 1810: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1820: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
Iteration 1830: loss: 0.323, support accuracy: 1.000, query accuracy: 0.987
Iteration 1840: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1850: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1860: loss: 0.329, support accuracy: 1.000, query accuracy: 0.987
Iteration 1870: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 1880: loss: 0.320, support accuracy: 0.975, query accuracy: 1.000
Iteration 1890: loss: 0.333, support accuracy: 0.975, query accuracy: 0.987
Iteration 1900: loss: 0.323, support accuracy: 0.950, query accuracy: 0.987
Iteration 1910: loss: 0.320, support accuracy: 1.000, query accuracy: 0.987
Iteration 1920: loss: 0.339, support accuracy: 1.000, query accuracy: 0.975
Iteration 1930: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1940: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 1950: loss: 0.342, support accuracy: 1.000, query accuracy: 0.962
Iteration 1960: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 1970: loss: 0.320, support accuracy: 1.000, query accuracy: 0.987
Iteration 1980: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 1990: loss: 0.328, support accuracy: 1.000, query accuracy: 0.975
Iteration 2000: loss: 0.328, support accuracy: 0.975, query accuracy: 0.987
Start Validation...
Validation: loss: 0.560, support accuracy: 0.912, query accuracy: 0.730 Ci95: 0.004
Saved checkpoint.
Iteration 2010: loss: 0.315, support accuracy: 0.950, query accuracy: 1.000
Iteration 2020: loss: 0.339, support accuracy: 0.975, query accuracy: 0.975
Iteration 2030: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 2040: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 2050: loss: 0.323, support accuracy: 1.000, query accuracy: 0.987
Iteration 2060: loss: 0.362, support accuracy: 1.000, query accuracy: 0.938
Iteration 2070: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 2080: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2090: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2100: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 2110: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 2120: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 2130: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 2140: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2150: loss: 0.334, support accuracy: 1.000, query accuracy: 0.975
Iteration 2160: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 2170: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 2180: loss: 0.325, support accuracy: 0.975, query accuracy: 0.987
Iteration 2190: loss: 0.336, support accuracy: 1.000, query accuracy: 0.975
Iteration 2200: loss: 0.316, support accuracy: 1.000, query accuracy: 1.000
Iteration 2210: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 2220: loss: 0.321, support accuracy: 1.000, query accuracy: 1.000
Iteration 2230: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 2240: loss: 0.340, support accuracy: 0.975, query accuracy: 0.975
Iteration 2250: loss: 0.337, support accuracy: 1.000, query accuracy: 0.975
Iteration 2260: loss: 0.331, support accuracy: 1.000, query accuracy: 0.987
Iteration 2270: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 2280: loss: 0.359, support accuracy: 1.000, query accuracy: 0.950
Iteration 2290: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2300: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 2310: loss: 0.337, support accuracy: 1.000, query accuracy: 0.975
Iteration 2320: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2330: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 2340: loss: 0.341, support accuracy: 1.000, query accuracy: 0.975
Iteration 2350: loss: 0.338, support accuracy: 1.000, query accuracy: 0.975
Iteration 2360: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 2370: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 2380: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
Iteration 2390: loss: 0.315, support accuracy: 0.975, query accuracy: 1.000
Iteration 2400: loss: 0.315, support accuracy: 0.975, query accuracy: 1.000
Iteration 2410: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 2420: loss: 0.321, support accuracy: 1.000, query accuracy: 1.000
Iteration 2430: loss: 0.322, support accuracy: 1.000, query accuracy: 0.987
Iteration 2440: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2450: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 2460: loss: 0.347, support accuracy: 0.950, query accuracy: 0.962
Iteration 2470: loss: 0.324, support accuracy: 1.000, query accuracy: 0.987
Iteration 2480: loss: 0.344, support accuracy: 1.000, query accuracy: 0.963
Iteration 2490: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2500: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
Iteration 2510: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2520: loss: 0.320, support accuracy: 1.000, query accuracy: 1.000
Iteration 2530: loss: 0.321, support accuracy: 0.975, query accuracy: 1.000
Iteration 2540: loss: 0.318, support accuracy: 1.000, query accuracy: 1.000
Iteration 2550: loss: 0.332, support accuracy: 1.000, query accuracy: 0.987
Iteration 2560: loss: 0.320, support accuracy: 1.000, query accuracy: 1.000
Iteration 2570: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2580: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2590: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 2600: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2610: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2620: loss: 0.340, support accuracy: 1.000, query accuracy: 0.975
Iteration 2630: loss: 0.346, support accuracy: 1.000, query accuracy: 0.962
Iteration 2640: loss: 0.340, support accuracy: 1.000, query accuracy: 0.975
Iteration 2650: loss: 0.321, support accuracy: 0.975, query accuracy: 1.000
Iteration 2660: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 2670: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2680: loss: 0.330, support accuracy: 1.000, query accuracy: 0.987
Iteration 2690: loss: 0.330, support accuracy: 1.000, query accuracy: 0.987
Iteration 2700: loss: 0.337, support accuracy: 1.000, query accuracy: 0.975
Iteration 2710: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 2720: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2730: loss: 0.348, support accuracy: 1.000, query accuracy: 0.962
Iteration 2740: loss: 0.351, support accuracy: 0.975, query accuracy: 0.962
Iteration 2750: loss: 0.326, support accuracy: 1.000, query accuracy: 0.987
Iteration 2760: loss: 0.332, support accuracy: 0.975, query accuracy: 0.987
Iteration 2770: loss: 0.330, support accuracy: 1.000, query accuracy: 0.987
Iteration 2780: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2790: loss: 0.320, support accuracy: 1.000, query accuracy: 1.000
Iteration 2800: loss: 0.328, support accuracy: 0.975, query accuracy: 0.987
Iteration 2810: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2820: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2830: loss: 0.325, support accuracy: 0.975, query accuracy: 1.000
Iteration 2840: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2850: loss: 0.329, support accuracy: 0.975, query accuracy: 0.987
Iteration 2860: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2870: loss: 0.313, support accuracy: 1.000, query accuracy: 1.000
Iteration 2880: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2890: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2900: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 2910: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2920: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2930: loss: 0.322, support accuracy: 1.000, query accuracy: 0.987
Iteration 2940: loss: 0.332, support accuracy: 1.000, query accuracy: 0.987
Iteration 2950: loss: 0.328, support accuracy: 1.000, query accuracy: 0.987
Iteration 2960: loss: 0.315, support accuracy: 1.000, query accuracy: 1.000
Iteration 2970: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2980: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 2990: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 3000: loss: 0.315, support accuracy: 0.975, query accuracy: 1.000
Iteration 3010: loss: 0.314, support accuracy: 1.000, query accuracy: 1.000
Iteration 3020: loss: 0.322, support accuracy: 1.000, query accuracy: 1.000
Iteration 3030: loss: 0.313, support accuracy: 1.000, query accuracy: 1.000
Iteration 3040: loss: 0.327, support accuracy: 1.000, query accuracy: 0.975
Iteration 3050: loss: 0.327, support accuracy: 1.000, query accuracy: 0.987
Iteration 3060: loss: 0.314, support accuracy: 0.975, query accuracy: 1.000
Iteration 3070: loss: 0.322, support accuracy: 1.000, query accuracy: 1.000
Iteration 3080: loss: 0.317, support accuracy: 1.000, query accuracy: 1.000
Iteration 3090: loss: 0.325, support accuracy: 1.000, query accuracy: 0.987
Iteration 3100: loss: 0.319, support accuracy: 1.000, query accuracy: 1.000
Iteration 3110: loss: 0.321, support accuracy: 1.000, query accuracy: 0.987
